S 50-43-44-35-18-001-3010-001    301N 502000 0 502000 RES 
S 50-43-44-35-24-000-3060-001    306 502000 0 502000 RES 
S 50-43-44-26-09-001-3050-001    305-N 527213 25000 502213 RES 
S 50-43-44-26-09-001-1050-001    105-N 527448 25000 502448 RES 
S 50-43-44-23-06-002-5050-001    505 503000 0 503000 RES 
S 50-43-44-23-11-000-6030-001    603 503000 0 503000 RES 
N 50-43-43-14-05-000-0010-001     528183 25000 503183 RES 
C 50-43-43-27-71-002-1090-001     503491 0 503491 RES 
S 50-43-44-23-11-000-7040-001     504000 0 504000 RES 
S 50-43-44-35-13-001-0071-001    7A-I 505000 0 505000 RES 
S 50-43-44-35-13-002-0038-001    3H-II 530000 25000 505000 RES 
S 50-43-44-35-13-002-0071-001    7A-II 505000 0 505000 RES 
M 50-43-43-15-03-000-0680-001     530293 25000 505293 RES 
N 50-43-43-02-01-000-0013-001     530462 25000 505462 RES 
N 50-43-42-34-08-000-0110-001     530895 25000 505895 RES 
M 50-43-43-22-18-000-2120-001    A212 531443 25500 505943 RES 
S 50-43-44-14-01-002-3040-001    304S 506000 0 506000 RES 
S 50-43-44-14-01-003-3040-001    304A 506000 0 506000 RES 
S 50-43-44-14-01-003-3060-001    306A 506000 0 506000 RES 
S 50-43-44-14-04-000-7090-001    709 506000 0 506000 RES 
S 50-43-44-14-04-000-7170-001    717 506000 0 506000 RES 
S 50-43-44-23-11-000-6120-001    612 506000 0 506000 RES 
S 50-43-44-35-19-001-0052-001    5B-I 531000 25000 506000 RES 
N 50-43-43-11-00-002-0060-001     531225 25000 506225 RES 
N 50-43-43-10-02-000-0030-001     531541 25000 506541 RES 
C 50-43-43-27-54-000-0024-001    2D 531750 25000 506750 RES 
M 50-43-43-14-21-000-2190-001    R-219 507000 0 507000 RES 
S 50-43-44-23-06-002-3060-001    306S 507000 0 507000 RES 
S 50-43-44-26-05-001-1010-001    101N 507000 0 507000 RES 
S 50-43-44-35-05-001-4010-001    401 507000 0 507000 RES 
S 50-43-44-35-19-001-0063-001    6C-I 532098 25000 507098 RES 
M 50-43-43-14-21-000-5160-001    R-516 532244 25000 507244 RES 
M 50-43-43-22-18-001-5280-001    528B 533000 25500 507500 RES 
C 50-43-43-27-63-000-3070-001    3-G 508000 0 508000 RES 
S 50-43-44-23-11-000-4020-001     508000 0 508000 RES 
S 50-43-44-35-19-002-0014-001    1D-II 533000 25000 508000 RES 
M 50-43-43-14-21-000-3180-001    R-318 509000 0 509000 RES 
M 50-43-43-14-23-000-5110-001    511 509000 0 509000 RES 
S 50-43-44-26-09-002-3020-001    302-S 534133 25000 509133 RES 
M 50-43-43-15-08-000-0032-001     534355 25000 509355 RES 
M 50-43-43-23-08-000-0020-001    1B 509900 0 509900 RES 
S 50-43-44-23-06-001-4050-001    405 510000 0 510000 RES 
S 50-43-44-35-13-002-0027-001    2G-II 510000 0 510000 RES 
S 50-43-44-35-19-001-0023-001    2C-I 510000 0 510000 RES 
S 50-43-44-35-19-002-0023-001    2C-II 510000 0 510000 RES 
C 50-43-43-26-16-000-0110-001    K 536075 25500 510575 RES 
M 50-43-43-23-08-000-0010-001    1A 511000 0 511000 RES 
S 50-43-44-26-02-002-4010-001    401-B 511000 0 511000 RES 
S 50-43-44-35-18-001-5080-001    508N 511000 0 511000 RES 
S 50-43-44-35-19-001-0067-001    6G-I 511000 0 511000 RES 
S 50-43-44-35-19-002-0067-001    6G-II 511000 0 511000 RES 
N 50-43-43-10-08-000-0130-001     536067 25000 511067 RES 
S 50-43-44-14-04-000-8090-001    809 512000 0 512000 RES 
S 50-43-44-23-05-001-4020-001    402N 512000 0 512000 RES 
S 50-43-44-23-06-002-2020-001    202 512000 0 512000 RES 
S 50-43-44-23-06-002-2070-001    207S 512000 0 512000 RES 
S 50-43-44-23-10-002-5010-001    501 512000 0 512000 RES 
S 50-43-44-23-10-002-5060-001    PH-6S 512000 0 512000 RES 
S 50-43-44-35-02-000-3080-001    308 512000 0 512000 RES 
M 50-43-43-22-18-001-2270-001    B227 512380 0 512380 RES 
S 50-43-44-23-06-002-3030-001    303 513000 0 513000 RES 
S 50-43-44-23-11-000-6020-001    602 538000 25000 513000 RES 
S 50-43-44-23-11-000-7030-001    703 513000 0 513000 RES 
C 50-43-43-26-17-000-0031-001    3A 514000 0 514000 RES 
C 50-43-43-26-17-000-0035-001    035 514000 0 514000 RES 
