M 50-43-43-15-03-000-0210-001     947659 0 947659 RES 
S 50-43-44-26-09-001-4040-001    404-N 948000 0 948000 RES 
S 50-43-44-26-09-002-4040-001    404-S 948000 0 948000 RES 
N 50-43-43-03-14-000-0061-001     973836 25000 948836 RES 
S 50-43-44-23-08-003-6020-001    602W 950000 0 950000 RES 
M 50-43-43-23-05-006-0380-001     975224 25000 950224 RES 
M 50-43-43-14-07-000-0620-001     975307 25000 950307 RES 
N 50-43-42-34-01-000-0190-001     975611 25000 950611 RES 
M 50-43-43-23-07-000-0210-001    5B 976569 25000 951569 RES 
M 50-43-43-14-09-000-0360-001     977556 25000 952556 RES 
M 50-43-43-14-14-000-0090-001     977867 25000 952867 RES 
S 50-43-44-26-09-001-4020-001    402-N 953000 0 953000 RES 
S 50-43-44-23-09-002-0013-001    2A3 954000 0 954000 RES 
N 50-43-43-03-14-000-0150-001     979608 25000 954608 RES 
M 50-43-43-22-08-000-6260-001     954691 0 954691 RES 
S 50-43-44-23-07-001-0025-001    5B-1 955000 0 955000 RES 
M 50-43-43-14-21-000-6200-001    R-620 980849 25000 955849 RES 
S 50-43-44-26-08-002-5060-001    S-506 956000 0 956000 RES 
N 50-43-43-03-07-000-0020-001     981787 25000 956787 RES 
C 50-43-43-27-43-000-0040-001    4 957000 0 957000 RES 
M 50-43-43-23-05-012-0231-001    5 MAJ ALLY 957324 0 957324 RES 
N 50-43-43-14-01-000-0120-001     983242 25000 958242 RES 
M 50-43-43-23-05-009-0580-001     958353 0 958353 RES 
M 50-43-43-14-10-005-0330-001     958637 0 958637 RES 
M 50-43-43-23-05-012-0212-001    4 MAJ ALLY 960188 0 960188 RES 
M 50-43-43-15-04-000-0041-001     985321 25000 960321 RES 
M 50-43-43-15-27-000-0101-001    101-A 961000 0 961000 RES 
S 50-43-44-14-02-002-6060-001    606-S 986000 25000 961000 RES 
S 50-43-44-26-08-002-7060-001    S-706 986000 25000 961000 RES 
S 50-43-44-26-09-002-5050-001    505-S 961000 0 961000 RES 
C 50-43-43-26-13-000-0062-001    PH-B 987346 25000 962346 RES 
S 50-43-44-23-07-003-0023-001    3-B-3 988000 25000 963000 RES 
M 50-43-43-15-03-000-0080-001     964322 0 964322 RES 
C 50-43-43-27-67-000-6030-001    PH-C 992843 25000 967843 RES 
C 50-43-43-27-67-000-4010-001    4-A 968000 0 968000 RES 
N 50-43-42-34-08-000-0410-001     993075 25000 968075 RES 
