doc_id,volume,image_path,flag
DOJ-OGR-00000144,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000144.tif,
DOJ-OGR-00000145,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000145.tif,
DOJ-OGR-00000146,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000146.tif,
DOJ-OGR-00000147,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000147.tif,
DOJ-OGR-00000148,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000148.tif,
DOJ-OGR-00000149,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000149.tif,
DOJ-OGR-00000150,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000150.tif,
DOJ-OGR-00000151,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000151.tif,
DOJ-OGR-00000152,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000152.tif,
DOJ-OGR-00000153,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000153.tif,
DOJ-OGR-00000154,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000154.tif,
DOJ-OGR-00000155,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000155.tif,
DOJ-OGR-00000156,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000156.tif,
DOJ-OGR-00000157,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000157.tif,
DOJ-OGR-00000158,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000158.tif,
DOJ-OGR-00000159,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000159.tif,
DOJ-OGR-00000160,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000160.tif,
DOJ-OGR-00000161,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000161.tif,
DOJ-OGR-00000162,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000162.tif,
DOJ-OGR-00000163,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000163.tif,
DOJ-OGR-00000164,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000164.tif,
DOJ-OGR-00000165,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000165.tif,
DOJ-OGR-00000166,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000166.tif,
DOJ-OGR-00000167,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000167.tif,
DOJ-OGR-00000168,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000168.tif,
DOJ-OGR-00000169,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000169.tif,
DOJ-OGR-00000170,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000170.tif,
DOJ-OGR-00000171,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000171.tif,
DOJ-OGR-00000172,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000172.tif,
DOJ-OGR-00000173,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000173.tif,
DOJ-OGR-00000174,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000174.tif,
DOJ-OGR-00000175,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000175.tif,
DOJ-OGR-00000176,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000176.tif,
DOJ-OGR-00000177,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000177.tif,
DOJ-OGR-00000178,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000178.tif,
DOJ-OGR-00000179,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000179.tif,
DOJ-OGR-00000180,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000180.tif,
DOJ-OGR-00000181,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000181.tif,
DOJ-OGR-00000182,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000182.tif,
DOJ-OGR-00000183,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000183.tif,
DOJ-OGR-00000184,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000184.tif,
DOJ-OGR-00000185,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000185.tif,
DOJ-OGR-00000186,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000186.tif,
DOJ-OGR-00000187,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000187.tif,
DOJ-OGR-00000188,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000188.tif,
DOJ-OGR-00000189,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000189.tif,
DOJ-OGR-00000190,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000190.tif,
DOJ-OGR-00000191,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000191.tif,
DOJ-OGR-00000192,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000192.tif,
DOJ-OGR-00000193,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000193.tif,Y
DOJ-OGR-00000194,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000194.tif,
DOJ-OGR-00000195,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000195.tif,Y
DOJ-OGR-00000196,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000196.tif,
DOJ-OGR-00000197,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000197.tif,
DOJ-OGR-00000198,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000198.tif,
DOJ-OGR-00000199,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000199.tif,
DOJ-OGR-00000200,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000200.tif,
DOJ-OGR-00000201,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000201.tif,
DOJ-OGR-00000202,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000202.tif,
DOJ-OGR-00000203,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000203.tif,
DOJ-OGR-00000204,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000204.tif,
DOJ-OGR-00000205,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000205.tif,
DOJ-OGR-00000206,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000206.tif,
DOJ-OGR-00000207,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000207.tif,
DOJ-OGR-00000208,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000208.tif,
DOJ-OGR-00000209,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000209.tif,
DOJ-OGR-00000210,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000210.tif,
DOJ-OGR-00000211,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000211.tif,
DOJ-OGR-00000212,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000212.tif,
DOJ-OGR-00000213,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000213.tif,
DOJ-OGR-00000214,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000214.jpg,Y
DOJ-OGR-00000215,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000215.jpg,Y
DOJ-OGR-00000216,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000216.jpg,
DOJ-OGR-00000217,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000217.tif,Y
DOJ-OGR-00000218,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000218.tif,
DOJ-OGR-00000219,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000219.tif,Y
DOJ-OGR-00000220,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000220.tif,
DOJ-OGR-00000221,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000221.tif,
DOJ-OGR-00000222,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000222.tif,
DOJ-OGR-00000223,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000223.tif,
DOJ-OGR-00000224,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000224.tif,
DOJ-OGR-00000225,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000225.tif,
DOJ-OGR-00000226,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000226.tif,
DOJ-OGR-00000227,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000227.tif,
DOJ-OGR-00000228,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000228.tif,
DOJ-OGR-00000229,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000229.tif,
DOJ-OGR-00000230,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000230.tif,
DOJ-OGR-00000231,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000231.tif,
DOJ-OGR-00000232,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000232.tif,
DOJ-OGR-00000233,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000233.tif,
DOJ-OGR-00000234,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000234.tif,
DOJ-OGR-00000235,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000235.tif,
DOJ-OGR-00000236,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000236.tif,
DOJ-OGR-00000237,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000237.tif,
DOJ-OGR-00000238,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000238.tif,
DOJ-OGR-00000239,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000239.tif,
DOJ-OGR-00000240,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000240.tif,Y
DOJ-OGR-00000241,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000241.jpg,
DOJ-OGR-00000242,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000242.tif,Y
DOJ-OGR-00000243,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000243.tif,
